(0)STT,(1)Cổ phiếu,(2)Sàn,(3)Giáhiện tại,(4)GT nội tạiGiá mục tiêu,(5)% Biên độan toàn,(6)Vùng muathấp,(7)Vùng muacao,(8)% TSLNCP5 năm,(9)% ĐLCnăm,(10)Chỉ bán rakhi giá đạt mức,(11)Vốn hóa(đv: M),(12)% TTLNDN3 năm,(13)% TTLNDN5 năm,(14)% TB ROE3 năm,(15)ROETTM,(16)% TL Nợ/ Tài sản,(17)% TSLNCP1 năm,(18)% TSLNCP3 năm,(19)SL Qũynắm giữ,(20)GTCP Quỹnắm giữ (đv: M),(21)% TL hoànthành DT,(22)% TL hoànthành LNST,(23)% TL DT TTM/ DT 2025,(24)% TL LN TTM/ LN 2025,(25)% TL LN TTM/ LN TTM cách 1 năm,(26)NgàyBC 1,(27)NguồnBC 1,(28)Giá mụctiêu ĐC 1,(28b)Giá MTĐC 1sau cổ tức,(29)NgàyBC 2,(30)NguồnBC 2,(31)Giá mụctiêu ĐC 2,(31b)Giá MTĐC 2sau cổ tức,(32)NgàyBC 3,(33)NguồnBC 3,(34)Giá mụctiêu ĐC 3,(34b)Giá MTĐC 3sau cổ tức,(35)TB củagiá MT,(36)GT nội tạiWiki,(37)Xếp hạng,(38)PE TTMCP,(39)PE TB5 năm CP,(40)PE TTMngành
1,ACB,HOSE,"22,350","29,000",29.15 %,"26,500","31,000",11.72 %,26.66 %,"43,500","111,465,448",4.51 %,15.25 %,21.37 %,17.56 %,90.79 %,-2.56 %,13.45 %,36,"2,029,139",,,,100.00 %,100.00 %,02/03/2026,SSV,"30,400","30,400",23/02/2026,BVSC,"28,700","28,700",30/01/2026,BSC,"27,100","27,100","28,733","29,000",1.5,7.89,7.13,9.56
2,BID,HOSE,"41,450","50,000",21.03 %,"46,000","54,000",10.05 %,32.03 %,"75,000","284,716,226",18.28 %,33.37 %,19.21 %,19.14 %,94.79 %,-0.37 %,5.47 %,19,"332,945",,,,100.00 %,100.00 %,04/02/2026,BVSC,"53,100","53,100",08/12/2025,KBSV,"51,800","51,800",25/11/2025,ACBS,"46,100","46,100","50,333","50,000",1.0,9.12,11.90,9.56
3,BMP,HOSE,"143,000","184,000",28.76 %,"169,500","199,000",27.20 %,33.14 %,"276,000","11,501,462",20.96 %,18.65 %,40.00 %,44.05 %,14.84 %,23.03 %,47.84 %,12,"257,393",,,100.00 %,100.00 %,100.00 %,05/03/2026,ABS,"183,200","183,200",30/01/2026,DSC,"185,600","185,600",23/01/2026,BVSC,"184,000","184,000","184,267","184,000",1.5,11.66,12.13,10.80
4,BWE,HOSE,"43,200","56,500",30.79 %,"52,000","61,000",10.68 %,27.71 %,"85,000","9,302,988",11.20 %,13.90 %,14.79 %,17.39 %,58.48 %,-3.07 %,4.67 %,8,"190,807",,,100.00 %,100.00 %,100.00 %,17/12/2025,KBSV,"56,200","56,200",,,,,,,,,"56,200","56,800",0.5,10.52,12.51,11.97
5,CMG,HOSE,"29,750","47,000",58.15 %,"43,500","51,000",14.88 %,37.88 %,"70,500","6,812,352",10.36 %,,12.27 %,13.24 %,,-27.46 %,4.07 %,3,"3,943",,,,,100.00 %,20/08/2025,DSC,"46,400","46,400",09/06/2025,ACBS,"45,800","45,800",,,,,"46,100","48,000",0.5,18.91,24.05,19.75
6,CTG,HOSE,"34,100","45,000",32.42 %,"41,500","49,000",13.11 %,31.98 %,"67,500","257,862,562",27.46 %,20.44 %,18.98 %,21.25 %,93.51 %,14.17 %,22.52 %,42,"2,312,640",,,,100.00 %,100.00 %,15/12/2025,DSC,"42,725","42,725",11/12/2025,SSI,"44,112","44,112",27/11/2025,MAS,"40,095","40,095","42,311","48,000",1.5,8.03,8.54,9.56
7,CTR,HOSE,"79,800","107,000",34.33 %,"98,500","116,000",7.66 %,37.95 %,"161,000","8,990,730",10.64 %,16.95 %,29.00 %,30.50 %,74.73 %,-33.06 %,14.01 %,9,"184,485",,,100.00 %,100.00 %,100.00 %,09/01/2026,ELDIAN,"107,865","107,865",12/11/2025,MAS,"103,300","103,300",04/11/2025,SSI,"102,000","102,000","104,388","110,000",1.5,16.27,19.56,20.03
8,DBD,HOSE,"51,000","64,500",26.30 %,"59,500","69,500",15.82 %,23.44 %,"96,500","4,818,952",6.08 %,12.99 %,18.09 %,17.19 %,33.39 %,-8.50 %,19.68 %,2,"24,495",,,100.00 %,100.00 %,100.00 %,10/09/2025,SSI,"62,000","62,000",04/07/2025,CSI,"67,400","67,400",27/03/2025,FPTS,"68,081","68,081","65,827","63,000",0.5,15.86,15.69,17.00
11,DGC,HOSE,"73,500","81,000",10.27 %,"74,500","87,500",24.97 %,41.72 %,"121,500","26,964,267",-19.16 %,27.46 %,24.81 %,21.91 %,21.20 %,-33.36 %,15.59 %,12,"145,265",,,100.00 %,100.00 %,100.00 %,09/12/2025,KBSV,"116,788","116,788",21/11/2025,FPTS,"101,500","101,500",11/11/2025,Vietcap,"118,000","118,000","112,096","50,000",1.0,8.60,10.09,10.80
12,DGW,HOSE,"42,000","53,500",27.66 %,"49,500","58,000",14.82 %,47.04 %,"80,500","9,211,676",-6.71 %,15.73 %,15.80 %,17.12 %,69.15 %,3.76 %,14.80 %,15,"587,015",,,100.00 %,100.00 %,100.00 %,04/03/2026,BVSC,"54,600","54,600",24/02/2026,ABS,"55,600","55,600",16/12/2025,KBSV,"49,500","49,500","53,233","54,000",1.0,15.74,17.20,15.13
13,DPG,HOSE,"40,650","52,500",29.09 %,"48,500","56,500",26.98 %,48.05 %,"78,500","4,802,777",-5.04 %,13.51 %,13.58 %,16.06 %,64.02 %,34.82 %,33.22 %,4,"107,351",,,100.00 %,100.00 %,100.00 %,11/02/2026,BVSC,"56,450","56,450",30/12/2025,BSC,"55,300","55,300",12/11/2025,PHS,"53,100","53,100","54,950","50,000",0.5,11.57,11.06,59.89
14,FPT,HOSE,"78,500","116,500",48.35 %,"107,000","126,000",17.69 %,27.62 %,"174,500","129,296,190",20.03 %,20.47 %,28.38 %,28.25 %,50.33 %,-37.09 %,14.84 %,40,"5,279,465",,,100.00 %,100.00 %,100.00 %,02/03/2026,BVSC,"105,800","105,800",11/02/2026,YUANTA,"126,541","126,541",02/02/2026,BSC,"124,400","124,400","118,914","114,000",1.5,17.42,20.04,18.87
15,FRT,HOSE,"143,500","171,500",19.45 %,"157,500","185,000",60.49 %,42.66 %,"257,000","23,859,280",35.22 %,149.32 %,10.31 %,27.12 %,78.33 %,-4.04 %,40.93 %,15,"535,598",,,100.00 %,100.00 %,100.00 %,04/03/2026,ABS,"184,200","184,200",02/03/2026,SSV,"188,600","188,600",31/12/2025,BSC,"175,700","175,700","182,833","160,000",1.0,32.03,21.65,20.19
17,GMD,HOSE,"73,000","87,500",19.66 %,"80,500","94,500",23.89 %,34.68 %,"131,000","30,963,545",24.19 %,38.25 %,20.19 %,15.54 %,24.86 %,21.98 %,22.05 %,33,"1,781,300",,,100.00 %,100.00 %,100.00 %,26/02/2026,DSC,"83,200","83,200",26/02/2026,Vietcap,"93,900","93,900",25/02/2026,SSI,"95,000","95,000","90,700","84,000",1.0,15.51,16.14,13.84
20,HDG,HOSE,"25,900","33,000",27.86 %,"30,500","36,000",5.60 %,42.17 %,"49,500","9,600,541",-11.49 %,-5.52 %,10.23 %,11.99 %,43.14 %,3.06 %,8.98 %,11,"165,433",,,100.00 %,100.00 %,100.00 %,04/03/2026,SSV,"34,450","34,450",23/02/2026,SSI,"31,300","31,300",02/02/2026,BVSC,"36,950","36,950","34,233","32,000",0.5,14.31,14.69,59.89
21,HPG,HOSE,"26,550","34,500",29.69 %,"31,500","37,000",5.16 %,33.43 %,"51,500","194,573,059",22.48 %,2.81 %,10.17 %,12.62 %,49.12 %,8.47 %,16.43 %,37,"2,258,567",,,100.00 %,100.00 %,100.00 %,25/02/2026,MBS,"35,600","35,600",24/02/2026,BVSC,"36,000","36,000",24/02/2026,SSV,"33,000","33,000","34,867","34,000",1.0,13.12,13.89,15.82
23,IMP,HOSE,"53,700","52,000",-3.54 %,"47,500","56,000",16.13 %,29.93 %,"77,500","8,270,281",16.02 %,10.73 %,15.22 %,15.55 %,17.11 %,16.36 %,37.49 %,1,"1,355",,,100.00 %,100.00 %,100.00 %,06/02/2026,SSI,"56,000","56,000",30/01/2026,ABS,"52,800","52,800",21/11/2025,DSC,"52,000","52,000","53,600","50,000",1.0,23.16,20.87,17.00
