time,VNINDEX,ACB,DGC,DGW,DHC,FMC,FPT,FRT,GIL,HDG,HPG,IDC,IDV,IJC,MBB,MWG,NTL,PDR,PNJ,PTB,PHR,QNS,REE,SSI,TCB,THG,TNG,TPB,CTR,TVS,VCB,VCI,VCS,BVB,VPB
20250611,1315.2,20.95,92.7,38.8,24.85,35.65,116.9,178.0,17.8,26.85,26.1,40.5,26.7,12.25,24.25,61.9,18.25,17.35,76.0,51.7,51.3,47.3,67.5,23.5,30.1,64.3,18.2,13.25,97.1,17.5,55.7,35.45,49.5,12.8,18.0
20250610,1316.23,20.95,91.3,37.1,25.1,35.3,114.72,179.9,17.8,26.55,26.2,40.5,26.9,12.4,24.2,61.5,18.1,17.75,76.1,52.2,51.2,47.2,66.52,23.35,30.05,61.8,18.3,13.05,90.8,17.5,55.9,35.45,49.4,12.8,17.95
20250609,1310.57,20.95,88.1,34.7,25.0,35.5,115.21,170.4,17.5,26.45,26.3,40.2,26.9,12.45,24.25,60.5,18.5,17.7,74.6,52.2,50.9,47.1,66.96,23.35,29.75,61.5,18.4,13.05,88.8,17.5,55.9,35.2,48.3,12.7,17.85
20250606,1329.89,21.0,89.8,33.7,25.45,37.7,114.02,165.0,17.8,27.0,26.05,41.5,26.9,12.6,24.15,60.5,18.4,17.8,75.7,53.3,50.7,47.4,67.83,23.6,30.3,61.5,19.0,13.1,90.0,17.55,56.1,35.9,49.0,12.9,17.8
20250605,1342.09,21.0,90.6,34.95,26.0,37.75,115.81,168.0,17.7,27.0,25.75,42.2,27.2,12.75,24.4,61.7,18.65,18.25,77.9,53.7,50.6,47.5,67.22,23.95,31.1,62.2,19.2,13.15,91.1,17.9,56.3,36.85,49.7,13.1,18.1
20250604,1345.74,21.1,90.1,35.25,25.7,37.7,116.1,168.0,16.95,26.75,25.95,42.4,27.2,12.8,24.55,61.3,19.0,18.45,78.9,53.1,51.3,47.5,62.87,24.2,31.35,61.2,19.2,13.1,90.8,18.0,56.6,36.65,50.1,13.0,18.25
20250603,1347.25,21.25,90.5,34.15,25.7,37.65,116.4,169.5,16.7,26.8,26.0,42.6,27.4,12.8,24.7,62.4,18.0,18.35,77.8,53.7,50.8,47.6,63.39,24.5,31.6,62.0,19.1,13.25,92.1,18.0,56.8,37.2,50.1,13.3,18.3
20250602,1336.3,21.1,89.1,33.25,25.65,37.8,115.11,164.9,16.6,26.65,25.55,42.5,27.4,13.0,24.6,61.0,18.3,18.25,78.2,53.9,51.0,47.3,63.48,23.7,30.85,60.4,18.9,13.1,90.3,17.8,56.2,36.3,49.8,13.4,18.0
20250530,1332.6,21.1,89.9,32.6,25.6,37.8,115.51,168.0,16.8,26.2,25.75,43.6,27.3,12.7,24.35,62.1,17.25,17.1,82.5,55.0,51.3,47.6,62.35,23.45,30.45,59.5,19.2,13.25,90.1,18.0,56.4,36.0,50.1,13.0,17.95
20250529,1341.86,21.3,89.5,33.5,25.95,38.5,116.1,167.5,17.0,26.95,25.55,43.9,27.3,12.65,24.5,64.3,16.9,17.55,84.0,54.0,52.4,47.5,62.09,23.5,30.8,60.5,19.5,13.4,93.4,18.05,56.7,36.15,51.5,13.1,18.15
20250528,1341.87,21.4,90.7,33.4,26.2,38.0,117.39,167.5,17.1,26.85,25.6,43.0,26.7,12.55,24.6,64.4,15.8,17.3,79.3,54.0,49.4,48.0,62.96,23.7,30.5,58.8,19.1,13.35,93.3,17.75,56.8,36.55,50.1,13.2,18.0
20250527,1339.81,21.45,91.8,33.7,26.45,38.9,117.99,168.1,17.4,26.9,25.55,41.9,26.5,12.7,24.75,64.3,16.1,17.6,80.3,54.1,49.3,47.6,63.31,23.7,30.6,59.4,19.5,13.35,94.6,17.75,56.8,37.0,48.9,13.3,18.1
