time,VNINDEX,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2021-01-11,1184.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-12,1192.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-13,1186.05,11.1993,48.3936,27.8097,60.9312,17.9411,28.7436,60.4596,29.2964,8.7495,18.8411,6.4906,8.6929,76.4009,55.9067,49.0124,80.286,0.0,0.0,13.574,19.5,16.6045,10.2205,45.6212,74.3493,9.7391,49.384,131.3,87.0955,11.6513,36.2
2021-01-14,1187.4,11.1993,49.2459,28.0393,60.585,18.1732,28.7004,59.8745,30.0323,8.7332,18.7358,6.7241,8.8266,75.582,56.6598,48.3245,79.4719,0.0,0.0,14.3236,20.1,16.8879,10.239,45.2294,73.3914,9.8795,49.0728,130.7,86.0305,12.0103,36.6
2021-01-15,1194.2,11.3494,48.9618,28.0393,60.0657,18.3357,28.7868,59.5494,29.8023,9.0916,18.7568,6.9809,8.9436,76.1552,56.6155,48.1526,77.7274,0.0,0.0,14.972,21.1,17.4076,10.6278,44.9247,74.8651,10.0058,49.4284,131.8,86.6391,12.1572,36.7
2021-01-18,1191.94,11.2369,50.7612,27.9245,59.3733,17.9179,28.6571,58.8993,30.6302,8.8798,18.799,6.8875,8.7598,77.8748,55.9953,48.2385,77.6886,0.0,0.0,14.7086,20.6,17.1005,10.6649,44.9683,74.423,9.9076,49.0283,132.0,86.1827,11.8961,37.35
2021-01-19,1131.0,10.4677,49.1512,25.9729,56.2575,16.6646,26.7985,55.2587,29.1585,8.2607,17.5345,6.4439,8.1579,74.4356,53.1601,45.573,74.8199,0.0,0.0,13.6956,19.2,16.014,10.3501,43.0964,71.3282,9.262,45.6502,127.9,81.923,11.0639,37.3
2021-01-20,1134.68,10.6178,49.0565,26.1164,55.6516,16.5485,27.3604,56.2339,28.5146,8.3096,17.5766,6.4439,8.1579,74.4356,54.4005,45.8309,75.4789,0.0,0.0,13.493,19.0,16.2974,10.3316,43.1399,71.844,9.248,45.9168,130.0,82.9118,11.1618,36.8
2021-01-21,1164.21,10.8617,50.1929,26.6904,56.8633,17.1752,28.3546,56.884,29.2964,8.4073,18.6304,6.6307,8.626,74.9269,55.3751,47.2067,75.2075,0.0,0.0,13.9995,20.0,17.1005,10.5538,44.8377,72.9493,9.5707,46.717,131.0,83.9007,11.8145,36.6
2021-01-22,1166.78,10.7491,53.697,25.9729,55.9978,17.4537,28.9165,56.2989,29.5264,8.5051,18.3986,6.7007,8.5591,76.4009,56.3497,46.6908,75.2075,0.0,0.0,13.6753,19.95,17.1477,10.2575,44.8377,73.1703,9.5848,46.6725,133.8,82.6836,11.9124,36.9
2021-01-25,1166.05,10.5428,54.9281,25.5998,55.392,17.0823,28.9597,55.0637,29.8483,8.3584,18.4196,6.6774,8.4254,79.4307,58.4761,46.3468,75.2075,0.0,0.0,13.6551,19.35,16.9115,10.1094,44.62,73.3177,9.5848,46.5836,133.6,82.3033,11.7166,37.8
2021-01-26,1136.12,10.4302,54.8334,24.4231,52.3627,16.0147,28.5275,54.1536,27.7787,7.9837,17.8295,6.4673,8.5591,78.2024,58.4761,45.229,73.6569,0.0,0.0,12.9662,18.1,16.5336,9.8872,43.9235,72.2124,9.2901,45.1168,131.0,81.1623,11.0476,37.0
2021-01-27,1097.17,10.3177,54.9281,23.7057,50.199,15.1327,27.2308,51.3581,25.8471,7.5927,16.9865,6.3038,8.0242,75.0907,59.1406,43.5953,72.4163,0.0,0.0,12.0748,17.25,15.8251,9.2947,42.3999,69.1913,9.3883,44.45,130.8,78.5761,10.3948,34.45
2021-01-28,1023.94,9.6048,51.14,22.0698,46.737,14.0883,25.3289,47.7826,24.0534,7.0713,15.8063,5.8836,7.4725,69.8499,55.0207,40.5857,67.3766,0.0,0.0,11.2442,16.05,14.7386,8.6467,39.4397,64.4017,8.7428,41.3385,121.7,73.0993,9.6768,32.05
2021-01-29,1056.61,10.055,53.034,22.9021,48.9007,14.1579,27.1011,49.6029,22.4437,7.2668,16.5018,5.9069,7.8403,70.0137,58.7862,42.1335,62.6859,0.0,0.0,11.6696,16.9,15.1165,9.2392,40.4845,68.8965,8.8691,44.1833,125.8,78.1957,9.791,32.05
2021-02-01,1035.51,9.9987,51.14,22.4429,46.3042,14.8542,27.4469,48.8877,20.88,7.2342,16.1646,5.6034,7.3555,67.1476,54.7992,41.7036,67.0665,0.0,0.0,10.8592,16.1,15.2109,9.017,39.6574,65.0649,8.7147,44.0055,125.5,78.1197,10.1174,30.0
2021-02-02,1075.53,10.2614,52.087,22.5864,47.3428,15.7362,28.5275,49.7329,21.5239,7.5601,17.0708,5.7902,7.8069,68.7854,56.7041,42.7354,69.3925,0.0,0.0,11.2644,17.15,16.0612,9.3688,42.0081,69.5597,8.9673,47.0726,129.7,80.9341,10.8191,31.95
2021-02-03,1111.29,10.5428,53.5076,23.7344,50.6317,16.2004,30.2564,52.0082,22.9956,7.8208,17.7031,6.1871,8.1078,72.7978,56.4826,43.4233,69.3925,0.0,0.0,12.0343,18.0,16.5336,9.9243,43.0529,71.6229,9.5146,47.7838,131.0,83.4443,11.5697,33.1
2021-02-04,1112.19,10.5803,53.034,23.8205,50.2855,16.1075,31.337,52.6583,23.4096,7.6741,17.6188,6.2338,8.0409,73.2892,56.9256,44.1112,70.5943,0.0,0.0,12.0343,17.6,16.5336,9.8132,43.0529,72.5072,9.4865,46.6725,130.6,82.7597,11.9451,32.6
2021-02-05,1126.91,10.6928,55.591,23.9927,51.93,16.6181,31.5099,52.7884,23.6395,7.8533,17.9138,6.5373,8.275,73.371,57.8116,44.8851,70.5167,0.0,0.0,12.7636,18.3,17.1477,9.8872,43.5317,73.1703,9.9356,47.7838,131.1,83.3682,12.0756,32.7
