symbol,intrinsic_value,current_price,calculation_date
NAB,10.66,13.03,2026-03-28
ACB,18.77,23.32,2026-03-28
FTS,16.61,27.68,2026-03-28
PHR,37.74,61.25,2026-03-28
CTG,25.88,34.66,2026-03-28
VIC,109.49,144.02,2026-03-28
VIX,9.19,16.71,2026-03-28
DGC,42.1,66.59,2026-03-28
SHB,9.81,15.02,2026-03-28
DGW,25.68,44.06,2026-03-28
VNM,42.58,62.05,2026-03-28
VCB,44.88,59.85,2026-03-28
QNS,37.21,47.98,2026-03-28
REE,48.32,64.58,2026-03-28
DBD,43.49,51.65,2026-03-28
VND,8.1,16.57,2026-03-28
VJC,112.06,157.16,2026-03-28
DPM,21.6,30.61,2026-03-28
DIG,6.09,13.53,2026-03-28
VIB,11.44,16.76,2026-03-28
CTS,16.7,27.84,2026-03-28
KDH,16.66,25.83,2026-03-28
KDC,41.61,50.24,2026-03-28
FPT,62.77,79.07,2026-03-28
DCM,31.68,46.72,2026-03-28
EVF,7.95,13.8,2026-03-28
VPI,48.71,57.54,2026-03-28
DXG,6.28,13.95,2026-03-28
STB,47.29,64.08,2026-03-28
PNJ,87.47,114.66,2026-03-28
HPG,17.72,26.75,2026-03-28
GEX,19.32,34.66,2026-03-28
PLX,30.65,51.25,2026-03-28
BMP,110.61,139.06,2026-03-28
VCI,16.04,26.97,2026-03-28
VTP,58.99,92.92,2026-03-28
BID,28.08,41.3,2026-03-28
VGC,27.09,45.78,2026-03-28
BVB,7.5,12.13,2026-03-28
VHM,62.56,97.86,2026-03-28
KOS,32.96,37.52,2026-03-28
SJS,36.86,49.43,2026-03-28
PVD,23.47,38.48,2026-03-28
GMD,59.71,76.63,2026-03-28
BCM,36.14,55.42,2026-03-28
SAB,29.83,44.58,2026-03-28
MWG,50.72,82.2,2026-03-28
PDR,7.9,15.33,2026-03-28
GVR,19.01,34.89,2026-03-28
PVT,16.42,25.1,2026-03-28
HHV,6.28,11.88,2026-03-28
CII,8.34,16.48,2026-03-28
PPC,7.09,10.47,2026-03-28
IMP,42.4,54.92,2026-03-28
CTD,51.11,81.98,2026-03-28
KBC,16.0,30.98,2026-03-28
GAS,65.11,96.82,2026-03-28
VPB,19.16,26.01,2026-03-28
MSB,7.61,11.34,2026-03-28
DXS,2.91,6.32,2026-03-28
PTB,34.66,50.84,2026-03-28
NKG,7.46,14.04,2026-03-28
OCB,7.47,10.96,2026-03-28
POW,8.7,13.74,2026-03-28
TCH,7.83,14.74,2026-03-28
SBT,14.56,22.45,2026-03-28
CMG,20.62,30.03,2026-03-28
NLG,15.49,27.04,2026-03-28
SIP,34.49,57.48,2026-03-28
VSC,15.8,24.63,2026-03-28
DSE,13.71,23.64,2026-03-28
SSI,18.53,29.02,2026-03-28
NT2,19.64,26.78,2026-03-28
ANV,13.47,23.89,2026-03-28
VCG,11.06,21.16,2026-03-28
SCS,40.61,53.55,2026-03-28
HAG,9.68,15.41,2026-03-28
VHC,39.23,59.33,2026-03-28
FRT,106.06,154.39,2026-03-28
PAN,19.57,31.46,2026-03-28
CTR,50.33,83.2,2026-03-28
TCB,20.77,30.8,2026-03-28
BVH,51.54,76.92,2026-03-28
TLG,36.53,49.8,2026-03-28
MBB,21.87,26.28,2026-03-28
HSG,7.24,14.61,2026-03-28
VNINDEX,1370.48,1704.22,2026-03-28
DBC,13.22,23.66,2026-03-28
SZC,16.79,29.81,2026-03-28
BSI,20.12,35.47,2026-03-28
EIB,14.65,22.27,2026-03-28
HDB,20.8,25.45,2026-03-28
LPB,30.92,42.01,2026-03-28
VRE,14.43,25.98,2026-03-28
SSB,13.5,16.74,2026-03-28
HT1,8.92,16.14,2026-03-28
DPG,26.08,41.9,2026-03-28
BWE,34.35,43.26,2026-03-28
HDC,9.26,17.97,2026-03-28
MSN,47.44,73.44,2026-03-28
AAA,3.97,7.15,2026-03-28
TPB,10.77,16.3,2026-03-28
PC1,17.15,27.4,2026-03-28
HDG,16.2,28.16,2026-03-28
HCM,13.43,21.99,2026-03-28
