symbol,current_price,sma_20,sma_50,sma_200,price_vs_sma20_pct,price_vs_sma50_pct,price_vs_sma200_pct,annualized_return_pct,volatility_pct,rsi_current,relative_strength_rating,value_signal,value_score,value_reasons,pe_estimate,roe_estimate,canslim_signal,canslim_score,canslim_reasons,technical_signal,technical_score,technical_reasons,final_signal,total_score,confidence_pct,market_direction,analysis_date
DGW,43.1,43.1,42.51,36.07,2.67,1.39,19.49,24.3398,47.2606,56.81,99.0,BUY,4,P/E < 15: Hấp dẫn; ROE > 15%: Tốt,12.69806,17.03786,BUY,5,Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,BUY,3,RSI trung tính: Ổn định; Giá > MA50 > MA200: Xu hướng tăng mạnh,BUY,4.5,100.0,UPTREND,2026-01-27 20:31:46
DCM,34.66,34.66,33.92,28.39,0.42,2.18,22.09,27.0075,43.099,56.42,99.0,BUY,4,P/E < 15: Hấp dẫn; ROE > 15%: Tốt,11.89775,18.90525,BUY,7,Return ≥25%: Tốt; Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,BUY,3,RSI trung tính: Ổn định; Giá > MA50 > MA200: Xu hướng tăng mạnh,BUY,4.5,100.0,UPTREND,2026-01-27 20:31:46
HDB,28.64,28.64,26.38,23.27,-1.02,8.57,23.06,27.9697,32.0837,45.63,99.0,BUY,4,P/E < 15: Hấp dẫn; ROE > 15%: Tốt,11.60909,19.578789999999998,BUY,6,Return ≥25%: Tốt; RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,BUY,3,RSI trung tính: Ổn định; Giá > MA50 > MA200: Xu hướng tăng mạnh,BUY,4.5,100.0,UPTREND,2026-01-27 20:31:46
BMP,170.87,170.87,168.07,134.49,-9.23,1.67,27.05,31.7795,33.4021,18.71,99.0,BUY,4,P/E < 15: Hấp dẫn; ROE > 15%: Tốt,10.46615,22.245649999999998,BUY,6,Return ≥25%: Tốt; RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,BUY,3,RSI < 30: Quá bán; Giá < SMA20 -5%: Yếu; Giá > MA50 > MA200: Xu hướng tăng mạnh,BUY,4.5,100.0,UPTREND,2026-01-27 20:31:46
STB,57.68,57.68,52.92,47.47,7.5,8.99,21.51,26.4207,38.9255,64.02,99.0,BUY,4,P/E < 15: Hấp dẫn; ROE > 15%: Tốt,12.07379,18.49449,BUY,7,Return ≥25%: Tốt; Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,BUY,3,Giá > SMA20 +5%: Mạnh; Giá > MA50 > MA200: Xu hướng tăng mạnh,BUY,4.5,100.0,UPTREND,2026-01-27 20:31:46
MBB,26.58,26.58,25.15,21.92,-1.82,5.69,21.28,26.1864,31.155,44.44,99.0,BUY,4,P/E < 15: Hấp dẫn; ROE > 15%: Tốt,12.14408,18.330479999999998,BUY,6,Return ≥25%: Tốt; RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,BUY,3,RSI trung tính: Ổn định; Giá > MA50 > MA200: Xu hướng tăng mạnh,BUY,4.5,100.0,UPTREND,2026-01-27 20:31:46
FPT,98.97,98.97,97.42,79.25,-0.47,1.59,24.88,29.7374,28.0143,58.43,99.0,BUY,5,P/E < 15: Hấp dẫn; ROE > 15%: Tốt; Volatility thấp: Ổn định,11.07878,20.81618,BUY,6,Return ≥25%: Tốt; RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,BUY,3,RSI trung tính: Ổn định; Giá > MA50 > MA200: Xu hướng tăng mạnh,BUY,4.5,100.0,UPTREND,2026-01-27 20:31:46
FTS,33.22,33.22,33.06,26.06,-2.93,0.48,27.5,32.1891,50.3671,50.33,99.0,BUY,3,P/E < 15: Hấp dẫn; ROE > 15%: Tốt; Volatility cao: Rủi ro,10.343269999999999,22.53237,BUY,7,Return ≥25%: Tốt; Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,BUY,3,RSI trung tính: Ổn định; Giá > MA50 > MA200: Xu hướng tăng mạnh,BUY,4.5,100.0,UPTREND,2026-01-27 20:31:46
DPM,23.7,23.7,23.29,19.38,-2.96,1.76,22.26,27.1795,40.7696,51.01,99.0,BUY,4,P/E < 15: Hấp dẫn; ROE > 15%: Tốt,11.84615,19.02565,BUY,7,Return ≥25%: Tốt; Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,BUY,3,RSI trung tính: Ổn định; Giá > MA50 > MA200: Xu hướng tăng mạnh,BUY,4.5,100.0,UPTREND,2026-01-27 20:31:46
SJS,58.46,58.46,58.61,42.99,-2.68,-0.26,35.98,39.4959,38.4585,21.43,99.0,BUY,4,P/E < 15: Hấp dẫn; ROE > 15%: Tốt,8.15123,27.647129999999997,BUY,7,Return ≥25%: Tốt; Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,HOLD,2,RSI < 30: Quá bán,BUY,3.5,87.5,UPTREND,2026-01-27 20:31:46
