symbol,current_price,sma_20,sma_50,sma_200,price_vs_sma20_pct,price_vs_sma50_pct,price_vs_sma200_pct,annualized_return_pct,volatility_pct,rsi_current,relative_strength_rating,value_signal,value_score,value_reasons,pe_estimate,roe_estimate,canslim_signal,canslim_score,canslim_reasons,technical_signal,technical_score,technical_reasons,final_signal,total_score,confidence_pct,market_direction,analysis_date,analyst_rating,analyst_score,analyst_count,enhanced_signal,enhanced_confidence
FPT,99.72,99.72,97.9,76.8,1.28,1.86,29.84,34.2977,27.9268,47.35,99.0,BUY,5,P/E < 15: Hấp dẫn; ROE > 15%: Tốt; Volatility thấp: Ổn định,9.71069,24.00839,BUY,4,Return ≥25%: Tốt; RS ≥80: Dẫn đầu,BUY,3,RSI trung tính: Ổn định; Giá > MA50 > MA200: Xu hướng tăng mạnh,BUY,4.5,100.0,SIDEWAYS,2025-11-18 10:24:48,BUY,4,9,BUY,95.0
ANV,28.96,28.96,28.71,23.89,-0.54,0.87,21.23,26.1402,48.9202,48.99,99.0,BUY,4,P/E < 15: Hấp dẫn; ROE > 15%: Tốt,12.15794,18.29814,BUY,5,Return ≥25%: Tốt; Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu,BUY,3,RSI trung tính: Ổn định; Giá > MA50 > MA200: Xu hướng tăng mạnh,BUY,4.5,100.0,SIDEWAYS,2025-11-18 10:24:48,SELL,2,9,BUY,90.0
FRT,144.33,144.33,137.13,76.54,1.57,5.25,88.56,70.1002,43.3245,46.98,99.0,BUY,4,P/E < 15: Hấp dẫn; ROE > 15%: Tốt,8.0,49.070139999999995,BUY,5,Return ≥25%: Tốt; Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu,BUY,3,RSI trung tính: Ổn định; Giá > MA50 > MA200: Xu hướng tăng mạnh,BUY,4.5,100.0,SIDEWAYS,2025-11-18 10:24:48,BUY,4,5,BUY,95.0
BMP,164.33,164.33,150.64,124.87,1.38,9.09,31.6,35.8353,33.0871,54.15,99.0,BUY,4,P/E < 15: Hấp dẫn; ROE > 15%: Tốt,9.24941,25.08471,BUY,4,Return ≥25%: Tốt; RS ≥80: Dẫn đầu,BUY,3,RSI trung tính: Ổn định; Giá > MA50 > MA200: Xu hướng tăng mạnh,BUY,4.5,100.0,SIDEWAYS,2025-11-18 10:24:48,STRONG_BUY,5,15,BUY,95.0
GMD,65.66,65.66,67.71,53.75,-3.14,-3.03,22.15,27.0671,35.4201,41.9,99.0,BUY,4,P/E < 15: Hấp dẫn; ROE > 15%: Tốt,11.87987,18.94697,BUY,5,Return ≥25%: Tốt; Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu,HOLD,1,RSI trung tính: Ổn định,BUY,3.5,87.5,SIDEWAYS,2025-11-18 10:24:48,HOLD,3,15,BUY,77.5
DGW,39.64,39.64,40.98,32.64,7.72,-3.27,21.46,26.369,47.3683,62.44,99.0,BUY,4,P/E < 15: Hấp dẫn; ROE > 15%: Tốt,12.0893,18.4583,BUY,5,Return ≥25%: Tốt; Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu,HOLD,1,Giá > SMA20 +5%: Mạnh,BUY,3.5,87.5,SIDEWAYS,2025-11-18 10:24:48,SELL,2,14,BUY,77.5
DPM,23.72,23.72,24.62,18.87,2.66,-3.66,25.72,30.5334,40.7913,55.56,99.0,BUY,4,P/E < 15: Hấp dẫn; ROE > 15%: Tốt,10.83998,21.373379999999997,BUY,5,Return ≥25%: Tốt; Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu,HOLD,1,RSI trung tính: Ổn định,BUY,3.5,87.5,SIDEWAYS,2025-11-18 10:24:48,BUY,4,5,BUY,95.0
SSI,35.23,35.23,38.01,26.88,0.48,-7.31,31.07,35.38,42.9019,48.0,99.0,BUY,4,P/E < 15: Hấp dẫn; ROE > 15%: Tốt,9.386,24.766,BUY,5,Return ≥25%: Tốt; Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu,HOLD,1,RSI trung tính: Ổn định,BUY,3.5,87.5,SIDEWAYS,2025-11-18 10:24:48,STRONG_BUY,5,10,BUY,95.0
DGC,94.15,94.15,94.72,67.41,5.16,-0.6,39.67,42.3948,41.1098,63.59,99.0,BUY,4,P/E < 15: Hấp dẫn; ROE > 15%: Tốt,8.0,29.676359999999995,BUY,5,Return ≥25%: Tốt; Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu,HOLD,1,Giá > SMA20 +5%: Mạnh,BUY,3.5,87.5,SIDEWAYS,2025-11-18 10:24:48,HOLD,3,4,BUY,77.5
HDG,31.17,31.17,31.84,25.85,7.79,-2.1,20.56,25.4555,43.1498,64.95,99.0,BUY,4,P/E < 15: Hấp dẫn; ROE > 15%: Tốt,12.36335,17.818849999999998,BUY,5,Return ≥25%: Tốt; Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu,HOLD,1,Giá > SMA20 +5%: Mạnh,BUY,3.5,87.5,SIDEWAYS,2025-11-18 10:24:48,STRONG_BUY,5,15,BUY,95.0
VPB,28.72,28.72,30.29,23.06,-2.18,-5.18,24.54,29.4068,33.7025,41.18,99.0,BUY,4,P/E < 15: Hấp dẫn; ROE > 15%: Tốt,11.17796,20.58476,BUY,4,Return ≥25%: Tốt; RS ≥80: Dẫn đầu,HOLD,1,RSI trung tính: Ổn định,BUY,3.5,87.5,SIDEWAYS,2025-11-18 10:24:48,SELL,2,13,BUY,77.5
DCM,34.6,34.6,35.84,27.45,1.15,-3.46,26.05,30.8448,43.1433,51.43,99.0,BUY,4,P/E < 15: Hấp dẫn; ROE > 15%: Tốt,10.74656,21.59136,BUY,5,Return ≥25%: Tốt; Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu,HOLD,1,RSI trung tính: Ổn định,BUY,3.5,87.5,SIDEWAYS,2025-11-18 10:24:48,SELL,2,6,BUY,77.5
