symbol,geom_mean_daily_return_pct,annualized_return_pct,daily_std_dev_pct,annual_std_dev_pct,rsi_current,sma_20_current,sma_50_current,volatility_annual_pct,price_vs_sma20_pct
CTS,0.1072,30.712,3.2836,51.9176,46.81,32.89,33.92,51.94,-4.39
ANV,0.0789,21.796,3.0782,48.6706,57.05,26.23,27.53,48.69,1.78
PVD,0.0493,13.1234,2.8088,44.4117,47.2,29.06,27.3,44.43,0.82
FRT,0.1904,60.8864,2.7241,43.0718,52.51,149.52,147.94,43.09,3.47
PAN,0.0048,1.2051,2.3816,37.656,80.68,27.95,27.94,37.67,6.82
CTR,0.039,10.2461,2.5049,39.6059,60.05,95.71,90.14,39.63,1.35
MSB,0.0297,7.6995,2.109,33.346,38.24,12.52,12.56,33.36,-2.54
SSI,0.0662,17.9857,2.6786,42.3522,55.73,31.38,30.69,42.37,-1.69
PDR,-0.034,-8.1592,2.6964,42.6346,36.11,18.1,20.01,42.65,-4.43
MWG,0.0357,9.336,2.4074,38.064,36.52,86.73,84.18,38.08,-1.99
BMP,0.1141,32.9901,2.1171,33.4736,28.66,170.18,168.04,33.49,-4.28
VIB,0.0506,13.4865,2.0387,32.2353,36.73,17.94,18.08,32.25,-3.02
GVR,0.0268,6.9233,2.8398,44.9019,78.11,33.44,29.58,44.92,19.15
GEX,0.0713,19.5123,3.075,48.6197,34.01,41.03,42.76,48.64,-10.54
TCH,0.0108,2.7375,2.9678,46.9243,25.41,16.44,18.44,46.94,-11.17
HSG,-0.006,-1.4799,2.8737,45.4374,50.65,16.15,16.32,45.46,-1.56
VCB,0.0394,10.362,1.5883,25.1139,68.58,67.2,61.66,25.12,5.06
DGW,0.0896,25.108,2.9894,47.2666,57.38,43.4,42.61,47.29,4.14
GAS,0.0575,15.4426,1.9762,31.2462,71.47,95.96,76.72,31.26,20.15
PNJ,0.0612,16.5411,1.8974,30.0005,75.7,104.92,95.87,30.01,10.56
IJC,-0.0135,-3.3129,2.7727,43.8397,46.0,10.87,11.31,43.86,-2.48
PLX,0.0227,5.8502,2.0082,31.7527,82.8,47.56,39.78,31.77,28.04
VND,0.1058,30.2498,6.2407,98.6741,44.8,19.65,19.3,98.72,-5.08
GMD,0.0815,22.5939,2.212,34.974,58.38,63.99,62.19,34.99,2.82
VHM,0.0345,9.0192,2.238,35.3852,18.78,127.01,112.7,35.4,-12.92
PHR,0.0174,4.4448,2.3843,37.6986,57.81,62.14,58.82,37.71,3.0
CTG,0.0671,18.2428,2.0569,32.5223,54.17,38.69,36.19,32.54,-1.14
KOS,0.0384,10.0793,0.7514,11.8814,71.43,38.87,38.68,11.89,0.6
TLG,0.0534,14.2898,2.1069,33.313,50.0,51.46,51.64,33.33,-0.9
DXS,-0.0795,-18.0363,3.0909,48.8714,23.05,8.34,9.2,48.89,-10.93
VTP,0.0433,11.4354,2.6725,42.2554,61.88,111.63,104.78,42.27,3.56
VPI,0.0654,17.7563,1.4966,23.6635,35.54,55.38,56.58,23.67,-3.39
LPB,0.1501,45.4856,2.4702,39.0581,49.25,41.93,44.53,39.07,0.16
BSI,0.1138,32.8923,4.0718,64.3806,51.26,39.59,39.4,64.41,-2.62
NAB,0.0653,17.7185,1.6075,25.4163,48.57,14.58,14.46,25.44,-1.59
REE,0.0623,16.8348,2.0293,32.0859,52.38,62.02,63.12,32.1,0.6
VNINDEX,0.0348,9.1007,1.2556,19.8533,44.93,1851.57,1760.86,19.86,-0.42
HDC,0.0342,8.918,3.0628,48.4267,43.67,21.74,24.26,48.45,-3.43
HCM,0.058,15.6133,2.8233,44.6398,55.98,23.8,23.18,44.66,-1.91
BVH,0.0172,4.3937,2.049,32.398,56.32,67.34,59.19,32.41,2.47
TPB,0.0408,10.7408,2.1634,34.206,45.28,17.34,17.19,34.22,-0.82
AAA,-0.0351,-8.3921,2.4619,38.9264,48.72,7.92,8.13,38.94,-1.52
VIX,0.0842,23.407,3.4226,54.1156,53.73,23.37,23.58,54.14,-3.28
IMP,0.0718,19.6489,1.9417,30.7013,65.79,52.97,50.53,30.71,1.38
OCB,0.0398,10.4595,2.0472,32.3693,40.0,11.97,12.12,32.38,-1.84
VHC,0.0542,14.5171,2.5003,39.533,55.17,58.55,57.22,39.55,-0.09
NKG,0.0486,12.917,3.0076,47.5549,47.83,15.24,15.59,47.57,-2.54
FTS,0.1137,32.8545,3.1846,50.3533,47.22,33.12,33.03,50.37,-2.63
MSN,0.0024,0.6011,2.2377,35.3812,42.61,78.52,77.65,35.4,-2.31
DIG,-0.0098,-2.4082,3.5065,55.4423,35.78,16.5,18.31,55.46,-5.47
HDG,0.0263,6.8045,2.7042,42.7567,41.6,26.51,28.9,42.77,-2.86
VRE,-0.014,-3.4372,2.4126,38.1461,20.91,33.24,32.71,38.16,-7.03
DSE,-0.0016,-0.3884,2.2717,35.9195,69.03,23.76,23.43,35.97,5.03
EIB,0.0377,9.8689,2.5254,39.9301,44.09,22.08,22.05,39.95,-4.91
VGC,0.0592,15.9572,2.9211,46.1859,53.14,45.54,44.12,46.2,-1.19
NLG,0.0111,2.8072,2.6892,42.5201,37.5,30.32,32.71,42.54,-7.49
EVF,-0.0132,-3.2542,2.6467,41.8478,54.69,11.36,11.6,41.87,1.23
SCS,0.0026,0.6484,1.5338,24.2519,57.25,53.78,52.93,24.26,0.04
PTB,0.038,9.9673,1.9914,31.4874,53.75,49.91,46.48,31.5,1.38
DGC,0.1068,30.6009,2.6599,42.0574,56.59,65.97,77.45,42.07,2.32
KBC,0.0155,3.942,2.7336,43.222,40.0,35.72,34.94,43.24,-5.24
NT2,0.036,9.4116,2.0885,33.0213,68.54,25.37,24.39,33.03,5.06
SAB,-0.0337,-8.0729,1.6376,25.8928,59.35,49.05,47.98,25.9,1.02
SSB,0.0465,12.3146,1.7071,26.9922,52.27,17.56,17.46,27.0,-0.6
TCB,0.0611,16.4839,2.0754,32.8153,41.21,35.89,34.74,32.83,-2.61
VPB,0.0731,20.0399,2.1271,33.6332,40.99,28.93,28.81,33.65,-3.91
VJC,0.0255,6.5877,1.7917,28.3287,26.31,194.08,197.06,28.34,-7.87
PPC,-0.0301,-7.2465,1.5947,25.2152,61.02,10.04,10.0,25.23,0.58
BCM,0.0251,6.4646,2.1965,34.7299,48.18,69.88,66.85,34.74,-3.98
FPT,0.1054,30.131,1.7737,28.045,58.58,99.45,97.48,28.06,2.66
MBB,0.0943,26.5708,1.9708,31.1614,48.11,26.67,25.21,31.17,-0.63
HPG,0.0327,8.5171,2.139,33.8208,48.15,26.8,26.8,33.83,-1.31
DXG,0.0191,4.8874,3.2106,50.7643,32.67,16.09,17.4,50.78,-6.76
SHB,0.0176,4.4977,2.206,34.8799,41.51,16.4,16.47,34.9,-2.12
POW,0.0152,3.8841,2.31,36.5245,55.88,13.88,13.05,36.54,0.85
SIP,0.0957,26.9998,7.6257,120.573,61.43,55.47,55.08,120.67,3.66
HDB,0.1,28.3996,2.03,32.0977,49.42,28.71,26.5,32.11,1.0
KDH,0.0217,5.564,2.2416,35.4423,28.37,29.84,32.0,35.46,-10.53
