symbol,current_price,annualized_return_pct,volatility_pct,rsi_current,price_vs_sma20_pct,relative_strength_rating,value_signal,value_score,value_reasons,pe_estimate,roe_estimate,canslim_signal,canslim_score,canslim_reasons,technical_signal,technical_score,technical_reasons,final_signal,total_score,confidence_pct,market_direction,analysis_date
BWE,48.52,20.3813,29.4284,35.58,-2.1,99.0,BUY,3,ROE > 15%: Tốt; Volatility thấp: Ổn định,15.0,16.30504,BUY,4,RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,HOLD,0,,BUY,3.5,87.5,UPTREND,2025-06-26 13:30:40
THG,51.97,21.4451,29.4038,71.39,5.26,99.0,BUY,3,ROE > 15%: Tốt; Volatility thấp: Ổn định,15.0,17.15608,BUY,4,RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,HOLD,-1,RSI > 70: Quá mua; Giá > SMA20 +5%: Mạnh,BUY,3.5,87.5,UPTREND,2025-06-26 13:30:40
FPT,116.23,38.3758,27.2435,54.18,0.74,99.0,BUY,3,ROE > 15%: Tốt; Volatility thấp: Ổn định,15.0,30.70064,BUY,6,Return ≥25%: Tốt; RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,HOLD,1,RSI trung tính: Ổn định,BUY,3.5,87.5,UPTREND,2025-06-26 13:30:40
QNS,47.4,19.3135,24.6948,50.0,0.21,99.0,BUY,3,ROE > 15%: Tốt; Volatility thấp: Ổn định,15.0,15.450800000000001,BUY,4,RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,HOLD,2,RSI trung tính: Ổn định; Volatility thấp: Xu hướng ổn định,BUY,3.5,87.5,UPTREND,2025-06-26 13:30:40
KDC,54.7,21.1715,18.9657,70.1,6.03,99.0,BUY,3,ROE > 15%: Tốt; Volatility thấp: Ổn định,15.0,16.9372,BUY,4,RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,HOLD,0,RSI > 70: Quá mua; Giá > SMA20 +5%: Mạnh; Volatility thấp: Xu hướng ổn định,BUY,3.5,87.5,UPTREND,2025-06-26 13:30:40
VPI,52.52,18.8248,21.9222,56.45,0.91,99.0,BUY,3,ROE > 15%: Tốt; Volatility thấp: Ổn định,15.0,15.059840000000001,BUY,4,RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,HOLD,2,RSI trung tính: Ổn định; Volatility thấp: Xu hướng ổn định,BUY,3.5,87.5,UPTREND,2025-06-26 13:30:40
ACB,21.16,16.7462,27.2209,63.16,0.41,99.0,HOLD,1,Volatility thấp: Ổn định,15.0,13.396960000000002,BUY,4,RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,HOLD,0,,HOLD,1.5,37.5,UPTREND,2025-06-26 13:30:40
BSI,41.45,41.0578,67.6127,36.04,-1.69,99.0,HOLD,1,ROE > 15%: Tốt; Volatility cao: Rủi ro,15.0,32.84624,BUY,7,Return ≥25%: Tốt; Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,HOLD,-1,Volatility cao: Không ổn định,HOLD,1.5,37.5,UPTREND,2025-06-26 13:30:40
IJC,12.48,11.9737,44.7113,33.33,-1.02,96.1,HOLD,-1,ROE < 10%: Yếu,15.0,9.57896,BUY,5,Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,HOLD,0,,HOLD,1.5,37.5,UPTREND,2025-06-26 13:30:40
CTR,95.11,11.939,40.8501,69.04,3.67,95.9,HOLD,-1,ROE < 10%: Yếu,15.0,9.5512,BUY,5,Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,HOLD,0,,HOLD,1.5,37.5,UPTREND,2025-06-26 13:30:40
IMP,51.26,20.7416,31.8409,47.26,-0.12,99.0,HOLD,2,ROE > 15%: Tốt,15.0,16.59328,BUY,4,RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,HOLD,1,RSI trung tính: Ổn định,HOLD,1.5,37.5,UPTREND,2025-06-26 13:30:40
FTS,36.65,46.2151,50.7892,55.83,2.59,99.0,HOLD,1,ROE > 15%: Tốt; Volatility cao: Rủi ro,15.0,36.97208,BUY,7,Return ≥25%: Tốt; Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,HOLD,1,RSI trung tính: Ổn định,HOLD,1.5,37.5,UPTREND,2025-06-26 13:30:40
NAB,16.6,18.4809,26.2184,39.47,-1.18,99.0,HOLD,1,Volatility thấp: Ổn định,15.0,14.78472,BUY,4,RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,HOLD,0,,HOLD,1.5,37.5,UPTREND,2025-06-26 13:30:40
CTG,39.45,21.6579,32.8559,81.82,5.7,99.0,HOLD,2,ROE > 15%: Tốt,15.0,17.326320000000003,BUY,4,RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,HOLD,-1,RSI > 70: Quá mua; Giá > SMA20 +5%: Mạnh,HOLD,1.5,37.5,UPTREND,2025-06-26 13:30:40
CTD,81.71,11.8112,43.9501,54.73,1.58,95.4,HOLD,-1,ROE < 10%: Yếu,15.0,9.44896,BUY,5,Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,HOLD,1,RSI trung tính: Ổn định,HOLD,1.5,37.5,UPTREND,2025-06-26 13:30:40
IDC,41.9,28.7482,47.6389,63.41,5.98,99.0,HOLD,2,ROE > 15%: Tốt,15.0,22.99856,BUY,7,Return ≥25%: Tốt; Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,HOLD,1,Giá > SMA20 +5%: Mạnh,HOLD,1.5,37.5,UPTREND,2025-06-26 13:30:40
HDB,21.78,26.3094,30.9244,53.66,0.08,99.0,HOLD,2,ROE > 15%: Tốt,15.0,21.047520000000002,BUY,6,Return ≥25%: Tốt; RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,HOLD,1,RSI trung tính: Ổn định,HOLD,1.5,37.5,UPTREND,2025-06-26 13:30:40
HCM,20.57,25.549,44.6979,52.13,1.83,99.0,HOLD,2,ROE > 15%: Tốt,15.0,20.4392,BUY,7,Return ≥25%: Tốt; Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu; Thị trường tăng: Tốt,HOLD,1,RSI trung tính: Ổn định,HOLD,1.5,37.5,UPTREND,2025-06-26 13:30:40
